LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
21N,107W,53.76470588235294,88.6470588235294,112.94117647058823,129.0,122.23529411764706,31.176470588235293,-1.5294117647058822,-6.176470588235294,-14.235294117647058,4.705882352941177,20.294117647058822,45.11764705882353
24N,113W,59.411764705882355,84.0,125.0,165.94117647058823,195.0,150.52941176470588,64.58823529411765,50.294117647058826,57.88235294117647,88.82352941176471,69.88235294117646,57.529411764705884
27N,116W,56.294117647058826,91.41176470588235,143.35294117647058,194.05882352941177,205.88235294117646,215.11764705882354,132.05882352941177,117.11764705882354,115.58823529411765,111.29411764705883,78.41176470588235,62.23529411764706
30N,119W,42.46153846153846,78.0,129.15384615384616,174.69230769230768,169.53846153846155,176.46153846153845,123.15384615384616,132.92307692307693,123.84615384615384,101.07692307692308,69.76923076923077,59.53846153846154
31N,119W,54.5,88.75,86.75,194.0,176.75,152.25,137.25,110.0,99.0,96.75,63.25,36.25
33N,119W,18.41176470588235,62.88235294117647,119.29411764705883,226.0,269.5882352941176,292.5882352941176,244.0,201.05882352941177,138.05882352941177,82.82352941176471,37.529411764705884,24.764705882352942
36N,122W,20.941176470588236,52.11764705882353,78.11764705882354,179.8235294117647,235.1764705882353,273.52941176470586,246.05882352941177,197.1764705882353,127.88235294117646,66.3529411764706,33.11764705882353,20.0
39N,125W,-5.411764705882353,54.411764705882355,39.411764705882355,116.58823529411765,210.8235294117647,271.4117647058824,285.8235294117647,211.05882352941177,131.76470588235293,66.05882352941177,19.058823529411764,7.764705882352941
42N,125W,-51.529411764705884,2.823529411764706,-6.294117647058823,40.11764705882353,105.6470588235294,142.47058823529412,204.7058823529412,130.76470588235293,58.470588235294116,12.823529411764707,-18.529411764705884,-41.529411764705884
45N,125W,-85.6470588235294,-27.647058823529413,-30.58823529411765,0.35294117647058826,32.05882352941177,40.529411764705884,83.76470588235294,52.470588235294116,14.058823529411764,-12.470588235294118,-53.294117647058826,-70.88235294117646
48N,125W,-92.52941176470588,-33.529411764705884,-32.64705882352941,-6.352941176470588,16.941176470588236,19.352941176470587,34.588235294117645,19.58823529411765,0.7647058823529411,-23.352941176470587,-61.94117647058823,-71.6470588235294
51N,131W,-79.23529411764706,-29.176470588235293,-31.41176470588235,-15.352941176470589,7.470588235294118,4.823529411764706,23.647058823529413,15.705882352941176,-4.823529411764706,-25.352941176470587,-41.94117647058823,-44.76470588235294
54N,134W,-110.0,-56.94117647058823,-48.11764705882353,-32.0,-6.294117647058823,-5.647058823529412,2.3529411764705883,-4.411764705882353,-25.529411764705884,-57.1764705882353,-70.88235294117646,-79.52941176470588
57N,137W,-117.47058823529412,-71.23529411764706,-67.94117647058823,-30.41176470588235,-7.588235294117647,-2.6470588235294117,2.2941176470588234,-7.764705882352941,-31.058823529411764,-67.94117647058823,-90.82352941176471,-89.94117647058823
60N,146W,-83.41176470588235,-53.05882352941177,-63.11764705882353,-20.941176470588236,-6.588235294117647,1.2352941176470589,3.176470588235294,-4.823529411764706,-16.764705882352942,-35.23529411764706,-64.11764705882354,-58.05882352941177
60N,149W,-69.88235294117646,-46.88235294117647,-56.94117647058823,-17.176470588235293,-2.0588235294117645,4.9411764705882355,6.764705882352941,1.8235294117647058,-4.705882352941177,-21.705882352941178,-51.94117647058823,-47.411764705882355
